object_id,timestamp,frame_id,object_class,pos_x,pos_y,pos_z,velocity,velocity_x,velocity_y,acceleration,trajectory_angle,trajectory_type,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,confidence_score,sensor_type,altitude,climb_rate,sea_state,wave_height,terrain_type,obstacle_density,visibility_range,fog_density,rain_intensity,lighting_condition,radar_range,doppler_velocity,thermal_signature,object_type_label,trajectory_label,threat_level
air_object_0,0.0,0,air_object,2537,1763,1189,788.0739301004954,634.8079198509639,-466.9897474233592,1.4302496241491953,-36.339666367809286,linear,286,354,1402,984,0.9915831545917542,thermal,1189,-47.573791960537946,,,,0.2375285539230101,0.9181896681724051,0.9922603729827154,14.24096797319029,day,8938.78680180799,788.0739301004954,0.6323828090557277,air_like,linear,low
air_object_1,0.01,1,air_object,3648,10,5662,799.3928182930686,633.7410631273171,-487.23828138272626,4.559517434312876,-37.55411417490881,diving,586,305,1196,1430,0.7173079937177976,thermal,5662,-44.85898444107623,,,,0.08661523716012232,0.6972843573070708,0.1024691974680475,15.562568548272008,night,3911.0014684430307,799.3928182930686,0.9444118258817192,air_like,ballistic,high
air_object_2,0.02,2,air_object,729,4627,2641,797.1827373608093,672.6093683073674,427.8982991450622,8.589123657918583,32.46356155179875,ballistic,192,513,1068,1494,0.8486496654511371,radar,2641,-58.877163217509,,,,0.5227656902524297,0.28493882279110416,0.1709028312901517,8.40908631696795,day,4806.185999464228,797.1827373608093,0.46994548791513147,air_like,diving,low
air_object_3,0.03,3,air_object,273,3686,4119,328.265950785675,256.0540853724842,-205.41382575007884,3.7281633503114016,-38.737571500996246,linear,48,756,1208,1019,0.7058514944446233,thermal,4119,-37.36804213484775,,,,0.4709012436181198,0.9517490455498694,0.739470379122786,8.922344737019131,day,3930.3057148068556,328.265950785675,0.8441072073011253,air_like,diving,medium
air_object_4,0.04,4,air_object,4023,815,3592,681.7123965463509,30.958293107419465,-681.0090863511618,3.5740056029163805,-87.39715782085477,diving,515,792,988,1561,0.8198219055723752,camera,3592,55.440100889873634,,,,0.7826347536828243,0.7209171485643588,0.436021637424714,7.490867672674472,day,7662.887056538843,681.7123965463509,0.6634323956418342,air_like,ballistic,high
air_object_5,0.05,5,air_object,152,1959,7925,496.3105061298557,148.4430774014917,473.59135472097495,12.997178478814275,72.59685566492527,linear,790,2,1323,1329,0.7930411798710554,thermal,7925,-48.54721111873563,,,,0.7592845299391561,0.2987620895135262,0.8496582647918637,14.224931956252608,dusk,9648.691314377864,496.3105061298557,0.687783280005902,air_like,linear,high
air_object_6,0.06,6,air_object,4986,69,7243,250.72018890545615,131.9296628144552,-213.20219791186904,13.3105784961794,-58.25075019598802,linear,780,537,934,1463,0.7449088318981314,thermal,7243,-39.68638932244018,,,,0.08366504064687807,0.7027552394705328,0.2758003448505052,14.632439588898453,day,825.4773248504325,250.72018890545615,0.431803462859657,air_like,ballistic,high
air_object_7,0.07,7,air_object,270,1232,2704,638.3965287982986,536.7691728748292,-345.58498670079496,14.539174519853358,-32.774415151027014,linear,66,16,1100,809,0.8491942340053811,camera,2704,-16.49978217128347,,,,0.44658651790004256,0.33017701141746586,0.3661163462992112,1.654256008732713,night,3770.660368685631,638.3965287982986,0.5054300358878131,air_like,linear,high
air_object_8,0.08,8,air_object,3220,4941,8475,456.4558700826409,324.1955054463533,321.32419078134194,8.861436118268784,44.74514623187193,ballistic,279,49,1440,1370,0.7860779113722529,radar,8475,7.095442051189863,,,,0.6503251228084745,0.31306273250288286,0.7863490688085762,10.704960318819275,day,9633.40074253072,456.4558700826409,0.7545794323563606,air_like,linear,medium
air_object_9,0.09,9,air_object,542,2306,1612,208.06074284631725,195.37222579103064,71.54695034185522,5.5055813867828265,20.113155008795445,diving,184,576,1355,1091,0.9749770294206841,camera,1612,29.871658240735627,,,,0.43331264338067577,0.8346300997958518,0.5897009595049406,13.952880193398174,night,570.8414831808361,208.06074284631725,0.9719948877612172,air_like,linear,low
